label,area,centroid-0,centroid-1,centroid-2,mean_intensity
55,3424.0,48.748539719626166,266.36915887850466,284.52219626168227,116.61244158878505
56,5358.0,13.334453154162,249.04964539007094,283.0474057484136,146.75569242254574
57,4489.0,19.937625306304298,233.20360882156382,227.67899309423035,148.57897081755402
58,6659.0,47.29358762576963,288.47980177203783,334.8896230665265,129.03874455623966
59,4527.0,54.3549812237685,281.22487298431633,211.2401148663574,116.67417715926662
60,3230.0,27.5046439628483,317.91083591331267,218.73993808049536,158.3922600619195
61,4420.0,47.70746606334841,249.12217194570135,348.29683257918555,136.12737556561086
62,1347.0,50.56867112100965,210.05864884929474,392.6926503340757,129.48775055679286
63,3394.0,47.21390689451974,344.61490866234533,210.18532704773128,126.3326458456099
64,3048.0,52.63123359580052,306.6545275590551,143.92027559055117,103.25459317585302
65,5653.0,52.212276667256326,320.2269591367415,143.73500796037501,96.9518839554219
66,3393.0,62.0297671676982,304.3969938107869,188.38491010904804,105.83407014441497
67,3738.0,68.09657570893526,297.57784911717494,179.57437132156232,115.64446227929373
68,6610.0,25.345083207261723,229.22208774583964,322.50847201210286,134.54689863842663
69,2550.0,24.65529411764706,267.3556862745098,142.76313725490195,145.54705882352943
70,2912.0,40.04017857142857,246.02747252747253,249.15418956043956,131.40350274725276
71,3392.0,47.67275943396226,266.93720518867923,199.19516509433961,124.87853773584905
72,3516.0,55.5193401592719,276.81200227531286,231.00398179749715,113.77787258248009
73,5939.0,58.45159117696582,319.62502104731436,222.27832968513218,126.24835830947971
74,5366.0,64.70033544539695,272.67741334327246,264.0400670890794,131.62336936265373
75,4745.0,17.341412012644888,265.8033719704953,191.47755532139095,159.5749209694415
76,3667.0,35.81947095718571,167.10199072811562,397.469866375784,107.04145077720207
77,2639.0,37.48616900341038,274.5460401667298,310.42326638878365,144.7862826828344
78,7461.0,61.54523522316043,329.82924540946254,278.4047714783541,120.65527409194478
79,4584.0,16.394633507853403,223.88765270506107,243.06260907504364,138.01614310645724
80,4821.0,17.887990043559427,245.09894212818918,257.77556523542836,136.74196224849615
81,2115.0,23.174940898345152,239.90543735224585,158.75271867612292,149.3063829787234
82,4870.0,27.84024640657084,260.31971252566734,266.28131416837783,125.80574948665297
83,2549.0,33.9242840329541,235.9709690074539,185.39976461357395,146.63632797175362
84,1177.0,33.67034834324554,199.20050977060322,381.5114698385726,125.64740866610026
85,1966.0,38.311291963377414,250.9587995930824,240.78382502543235,134.51932858596135
86,5948.0,41.57515131136517,172.98402824478816,429.182246133154,112.2362138533961
87,1856.0,41.825969827586206,286.3065732758621,181.92564655172413,123.84213362068965
88,4563.0,43.99912338373877,322.8025421871576,111.83234714003945,148.91891299583608
89,5148.0,45.836829836829835,179.9887334887335,399.06216006216005,106.3974358974359
90,4668.0,51.026778063410454,329.9271636675236,161.86760925449872,96.40017137960582
91,2286.0,50.501312335958005,295.1224846894138,174.8105861767279,112.93613298337708
92,808.0,47.01237623762376,276.6039603960396,332.08663366336634,123.22524752475248
93,3174.0,59.99936988027725,334.7747321991178,232.0132325141777,110.9067422810334
94,4840.0,51.21012396694215,377.2,183.6805785123967,113.9142561983471
95,2595.0,38.84161849710983,240.75452793834296,122.76955684007707,151.5868978805395
96,6498.0,36.16712834718375,357.288242536165,203.78408741151122,117.46244998461064
97,3568.0,55.47645739910314,274.6535874439462,156.3539798206278,120.62331838565022
98,4338.0,19.422314430613184,205.76463808206546,221.00437989857076,123.00437989857078
99,3847.0,23.770730439303353,286.85417208214193,200.64075903301273,157.76085261242525
100,4240.0,26.286556603773583,201.41179245283018,292.48372641509434,119.60495283018868
101,4489.0,47.41145021162843,316.13633325907773,264.1468032969481,123.65760748496325
102,1412.0,48.87960339943343,311.1310198300283,202.606940509915,146.18909348441926
103,5242.0,16.797214803510112,170.94963754292255,351.5505532239603,93.56829454406714
104,1522.0,43.769382391590014,282.44940867279894,165.23850197109067,113.9119579500657
105,1254.0,34.598883572567786,232.96331738437001,337.7049441786284,118.01674641148325
106,3825.0,37.48078431372549,313.6954248366013,228.47712418300654,133.6407843137255
107,2532.0,39.99091627172196,290.7010268562401,108.89218009478672,147.04304897314375
108,3065.0,44.18140293637847,340.18499184339316,135.44241435562805,127.18923327895595
109,3518.0,55.770892552586695,352.3334280841387,259.501989766913,106.9880613985219
110,3202.0,60.47845096814491,310.10805746408494,241.46408494690817,113.131480324797
111,1243.0,24.99034593724859,255.32341110217217,142.16411906677394,152.76588897827835
112,4351.0,46.32888991036543,360.4297862560331,233.35417145483797,115.54631119282924
113,547.0,50.22486288848263,303.9872029250457,174.79159049360146,104.27056672760511
114,2718.0,27.013980868285504,255.9757174392936,130.40618101545255,139.9506990434143
115,4151.0,31.762948687063357,360.05492652372925,171.1539388099253,126.21271982654783
116,2984.0,39.202412868632706,262.2469839142091,117.3411528150134,134.61896782841822
117,1258.0,42.01430842607313,280.3211446740859,173.1001589825119,124.21860095389508
118,2112.0,41.82244318181818,329.0625,241.78125,131.56770833333334
119,5123.0,50.48936170212766,205.0681241460082,334.0931095061487,124.35330860823736
120,836.0,25.952153110047846,266.05023923444975,132.43301435406698,144.98923444976077
