 ,Volume (µm^3),Surface (µm^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (µm),SD dist. to surf. (µm),Median dist. to surf. (µm),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
146,101.206,193.025,0,318,113100,174,0,0,174,0,291.329,298.812,53.683,2.992,0,0,291.329,298.812,53.683,0,0,0,0,0,0
147,177.656,289.549,0,494,199675,175,0,0,175,0,217.772,303.488,53.936,3.934,0,0,217.773,303.488,53.936,0,0,0,0,0,0
148,113.040,218.505,0,360,128502,177,0,0,177,0,222.245,356.413,54.959,3.176,0,0,222.244,356.413,54.959,0,0,0,0,0,0
149,133.748,218.591,0,379,152902,178,0,0,178,0,196.577,242.125,55.382,3.478,0,0,196.577,242.124,55.382,0,0,0,0,0,0
150,476.915,542.286,0,948,551340,180,0,0,180,0,139.290,262.757,56.652,4.967,0,0,139.289,262.757,56.652,0,0,0,0,0,0
151,348.772,472.954,0,812,405440,181,0,0,181,0,157.083,273.482,56.375,4.480,0,0,157.082,273.481,56.375,0,0,0,0,0,0
152,375.864,513.761,0,861,436934,181,0,0,181,0,231.333,275.922,56.372,5.189,0,0,231.331,275.922,56.373,0,0,0,0,0,0
153,315.296,555.383,0,957,336150,166,0,0,166,0,170.667,277.128,60.614,5.739,0,0,170.668,277.128,60.614,0,0,0,0,0,0
154,300.660,381.622,0,683,334063,173,0,0,173,0,293.452,288.010,55.495,4.277,0,0,293.451,288.010,55.495,0,0,0,0,0,0
155,129.233,217.259,0,367,158530,191,0,0,191,0,242.243,297.958,55.277,3.287,0,0,242.245,297.958,55.277,0,0,0,0,0,0
156,165.667,282.988,0,488,195776,184,0,0,184,0,209.925,306.119,55.412,3.742,0,0,209.925,306.119,55.412,0,0,0,0,0,0
157,283.845,385.525,0,737,364600,200,0,0,200,0,241.660,287.052,57.057,4.197,0,0,241.660,287.052,57.057,0,0,0,0,0,0
158,365.900,514.277,0,883,453550,193,0,0,193,0,259.997,352.597,56.686,4.240,0,0,259.996,352.596,56.686,0,0,0,0,0,0
159,343.323,432.872,0,821,438795,199,0,0,199,0,215.300,321.552,57.155,4.622,0,0,215.302,321.552,57.155,0,0,0,0,0,0
160,132.035,304.398,0,463,164512,194,0,0,194,0,175.347,319.200,60.396,3.715,0,0,175.347,319.200,60.396,0,0,0,0,0,0
161,998.984,1065.351,0,1929,1321696,206,0,0,206,0,277.591,329.211,62.746,6.508,0,0,277.593,329.215,62.745,0,0,0,0,0,0
162,663.602,952.716,0,1636,886496,208,0,0,208,0,231.361,338.980,60.046,5.935,0,0,231.361,338.980,60.046,0,0,0,0,0,0
163,753.442,739.586,0,1401,982317,203,0,0,203,0,246.849,256.949,60.908,5.406,0,0,246.850,256.949,60.908,0,0,0,0,0,0
164,230.750,396.374,0,688,305292,206,0,0,206,0,225.800,320.208,61.065,4.040,0,0,225.802,320.208,61.065,0,0,0,0,0,0
165,894.508,988.920,0,1907,1171980,204,0,0,204,0,216.743,295.841,66.021,6.603,0,0,216.749,295.842,66.021,0,0,0,0,0,0
166,412.299,520.237,0,923,579912,219,0,0,219,0,240.077,310.796,61.323,4.649,0,0,240.078,310.795,61.323,0,0,0,0,0,0
167,100.116,224.900,0,355,127314,198,0,0,198,0,318.123,296.323,59.871,3.131,0,0,318.123,296.323,59.871,0,0,0,0,0,0
168,591.045,604.321,0,1178,846508,223,0,0,223,0,257.300,301.123,63.823,5.385,0,0,257.302,301.123,63.824,0,0,0,0,0,0
169,392.680,465.800,0,911,552318,219,0,0,219,0,282.640,306.037,61.304,4.256,0,0,282.642,306.036,61.304,0,0,0,0,0,0
170,674.812,602.917,0,1185,1001154,231,0,0,231,0,264.330,272.913,65.582,5.376,0,0,264.330,272.913,65.583,0,0,0,0,0,0
171,125.496,282.070,0,471,180544,224,0,0,224,0,158.653,341.728,62.568,3.173,0,0,158.653,341.728,62.568,0,0,0,0,0,0
